duration,resolution_status,issue_category,csat,bot_effectiveness,transfer_reason,friction_points,summary_text,sentiment
36,Transferred to Human,Refund,2.0,Low,Requested by User,Bot did not provide a clear refund timeline or resolution; customer requested human assistance.,The customer was concerned that their refund had not been credited after a canceled order on May 17th. The issue was not resolved by the bot and was transferred to human support at the customer's request.,Negative
77,Abandoned by User,Shipping Delay,2.0,Low,None,Bot did not provide a resolution or update on rescheduled delivery; user had to explain multiple times.,"The customer’s primary issue was a delayed delivery after rescheduling with the delivery agent. The issue remained unresolved as the bot did not confirm a new delivery attempt, and the customer ended without clear satisfaction.",Neutral
157,Transferred to Human,Refund,3.0,Medium,Policy restriction (Human required),Delay in refund confirmation; customer concern about exceeding expected 7-day timeline,"The customer's primary issue was a refund delay after cancelling an order placed on May 15. The bot transferred the case to a human representative for further investigation, and the customer's satisfaction appeared neutral but concerned.",Negative
8,Abandoned by User,Other,,Low,None,None,"The customer’s primary issue is unknown as the conversation ended immediately after the greeting. No resolution occurred, and the customer’s satisfaction level cannot be determined.",Negative
131,Transferred to Human,Wrong Item,2.0,Medium,Bot failed to understand,Customer did not receive WhatsApp instructions twice and could not locate the return option on the app/website.,The customer reported receiving a damaged product and had trouble initiating a return or exchange through the website or WhatsApp. The query was transferred to a senior agent for further assistance as the issue remained unresolved.,Positive
134,Transferred to Human,Shipping Delay,2.0,Medium,Requested by User,User repeated query about dispatch timing; bot repeated standard response; user showed frustration and requested escalation.,The customer wanted to know when their order would be dispatched as it seemed delayed. The issue was not fully resolved and was escalated when the customer requested to speak with a senior representative.,Negative
120,Transferred to Human,Shipping Delay,2.0,Medium,Bot failed to understand,User frustrated over repeated failed delivery and poor communication; bot switched languages and struggled before resolution,,Negative
45,Transferred to Human,Shipping Delay,2.0,Medium,Requested by User,Customer expressed frustration about not being contacted by delivery agent and demanded escalation.,"The customer’s primary issue was a missing delivery where the order was marked 'out for delivery' but never received. The case was transferred to a higher authority as requested, with the customer showing frustration and unresolved concern.",Negative
128,Transferred to Human,Shipping Delay,3.0,Medium,Requested by User,Customer expressed frustration about a 5-day delivery delay and requested escalation.,"The customer was concerned about a delayed product delivery and wanted confirmation on when it would arrive. The issue was escalated to the senior team for faster delivery, and the customer appeared moderately satisfied after escalation.",Negative
26,Abandoned by User,Other,1.0,Low,None,User did not respond after initial greeting; conversation failed to progress,The customer initiated contact but did not specify any issue before the conversation stalled. The inquiry remained unresolved as the user did not engage further or express satisfaction.,Negative
271,Abandoned by User,Shipping Delay,2.0,Low,None,"Customer repeatedly expressed frustration, perceived the assistant as a bot despite reassurances, and ended the chat feeling unsatisfied.",The customer was frustrated about a delayed delivery and confusion regarding the order status. The issue remained unresolved as the customer ended the chat dissatisfied and disillusioned with the service.,Negative
20,Abandoned by User,Refund,2.0,Low,None,Customer expressed frustration about refund delay; no reassurance or resolution provided.,"The customer was upset about a canceled order and questioned why they must wait several days to receive a refund. The bot retrieved order details but did not offer a clear resolution, leaving the user unsatisfied.",Negative
25,Abandoned by User,Other,,Low,None,User did not state their issue and ended the chat prematurely,"The customer initiated contact but did not specify any issue during the short interaction. The query remained unresolved as the user did not proceed, leaving the chat incomplete.",Positive
126,Transferred to Human,Shipping Delay,2.0,Medium,Requested by User,Customer expressed frustration over unclear delivery timing and requested escalation.,"The customer's primary issue was a shipping delay and confusion about the delivery timeline. The case was transferred to a human agent after the user requested clearer assistance, indicating partial dissatisfaction.",Negative
133,,,,,,,,Neutral
7,Abandoned by User,Other,,Low,None,User did not engage with the bot beyond initial greeting,"The customer did not specify any issue or query during the interaction. The conversation ended without resolution, and no satisfaction could be assessed.",Negative
129,Transferred to Human,Wrong Item,3.0,Medium,Requested by User,Customer requested transfer to senior due to incomplete order issue.,The customer reported receiving only one item in a Buy One Get One (BOGO) order. The issue was escalated to a human agent after the bot provided return/exchange instructions via WhatsApp.,Negative
108,Transferred to Human,Missing Items,3.0,Medium,Policy restriction (Human required),User expressed confusion and partial language mixing before resolution,,Neutral
23,Abandoned by User,Other,1.0,Low,None,No response from the user and multiple prompts from the bot without engagement,The customer did not articulate any specific issue as there was no response during the interaction. The conversation ended without resolution or confirmation of satisfaction.,Negative
44,Abandoned by User,Shipping Delay,2.0,Medium,None,User seemed unsatisfied and interrupted before complete closure.,The customer was concerned about a delayed order delivery while traveling. The bot provided the delivery status as 'in transit' but the call ended abruptly without confirmation of satisfaction.,Neutral
89,Transferred to Human,Missing Item,2.0,Medium,Bot failed to understand,Bot misunderstood part of customer's speech ('Mercedes Guardia Lavaluna') and needed clarification multiple times,"The customer reported that their order was marked as delivered but they did not receive the parcel. The bot verified the order details and address but did not resolve the missing delivery, leaving the issue pending and the customer unsatisfied.",Negative
254,Resolved by Bot,Cancellation,4.0,High,None,"Initial confusion about why the order was cancelled, but quickly clarified by the bot.","The customer’s primary issue was a missing parcel that turned out to be a cancelled order. The bot explained the cancellation reason, logged a complaint, and the customer ended the call satisfied and appreciative.",Negative
108,Transferred to Human,Shipping Delay,3.0,Medium,Policy restriction (Human required),Initial confusion and language barrier; user expressed concern over parcel return and payment issue.,"The customer reported a wrong phone number on the order, causing OTP and delivery issues, and also mentioned a payment concern. The AI assistant transferred the case to a human agent for correction and resolution, with the customer appearing anxious but cooperative.",Negative
22,Abandoned by User,Shipping Delay,2.0,Low,None,Bot did not address the delivery partner refusal or OTP issue and stopped after fetching order details.,"The customer reported that the delivery partner refused to deliver the order and repeatedly requested an OTP. The issue was not clearly resolved by the bot, and no confirmation of action or satisfaction was recorded.",Neutral
13,Abandoned by User,Other,,Unknown,None,None,"The customer’s primary issue cannot be identified as the transcript only shows the greeting stage. Since no issue or resolution is presented, there is no indication of satisfaction or completion.",Negative
